dialogue_id,node_id,response_index,category,inferred_skill,inferred_difficulty,word_count,has_bracket_prefix,required_flags,set_flag,set_flag_source,text,proposed_grade,notes
reva_distress,grateful_info,2,explicit,persuasion,2,22,yes,,,,"[Persuasion 2] ""You've run convoys for ten years. You know the difference between bad luck and inside information. You've already decided which this is.""",,
dex_cantina,tension,1,explicit,persuasion,3,14,yes,,,,"[Persuasion 3] ""You pulled me in here because you've already made up your mind. Say it.""",,
embassy_summit,summit_deadlock,0,explicit,persuasion,3,11,yes,,,,"[Persuasion] ""One minute. Before the next person walks out of this room.""",,
embassy_summit,observation_moment,0,explicit,observation,2,24,yes,,,,[Observation] The Guild rep keeps checking her chrono. The Alliance rep hasn't looked at her once. One of them knows the clock runs out today.,,
oren_tak_meeting,suspicious,0,explicit,persuasion,2,28,yes,,,,"[Persuasion] ""Forty years in the tunnels. You sealed your mouth when the Union asked. Convoy crews are dying now and nobody's asked them to stay quiet. Flip the question.""",,
oren_tak_meeting,union_threat,0,explicit,persuasion,2,21,yes,,,,"[Persuasion] ""Your pension buys what. Forty years in, you know what a Union promise is worth when the Union's falling apart. Talk.""",,
sienna_vek_warning,scale,0,explicit,persuasion,3,14,yes,,,,"[Persuasion] ""Everything. Whatever's on those files has been eating you. Stop carrying it. Let me.""",,
sienna_vek_warning,leadership,0,explicit,persuasion,3,21,yes,,,,"[Persuasion] ""You've been carrying this alone for weeks. Hand it off. Let me be the one they come for when it leaks.""",,
tev_refining_intro,weigh_output,0,explicit,observation,2,9,yes,,,,"[Observation 2] His second tap was for him, not the scale.",,
arna_post_refining,start,1,knowledge,observation,,25,yes,knows_tev_skims,,,"[Observation] ""His second tap was for him, not the scale. Your friend skimmed you. You saw the same thing I did. You just didn't want to.""",,
